Age,Shocks,Fitness,Cash,FitnessSpending,JoySpending,InsuranceSpending,NextAge,NextShocks,NextFitness,NextCash,Probability,Enjoyment,FutureValue,Value,RandDraw,Shocked,TotalJoy,BuyIns,InsurancePaid,ShockProb,AtMaxShocks,Life
23,2,35,   1,  1, 54, 46,24,2,29,   0,0.830,  0.53,  2.37,  2.67,0.476,0, 12.64,1,0,0.170,0,  4
24,2,29,   0,  1, 47, 52,25,2,24,   0,0.810,  0.50,  2.13,  2.42,0.892,0, 13.14,1,0,0.190,0,  4
25,2,24,   0, 40, 52,  0,26,2,33,   8,0.834,  0.53,  2.07,  2.39,0.886,0, 13.67,0,0,0.166,0,  4
26,2,33,   8,  0, 52, 51,27,2,27,   5,0.812,  0.53,  1.76,  2.11,0.206,0, 14.20,1,0,0.188,0,  4
27,2,27,   5,  0, 47, 58,28,2,22,   0,0.789,  0.50,  1.43,  1.79,0.342,0, 14.70,1,0,0.211,0,  4
28,2,22,   0,  9, 91,  0,29,3,21,-300,0.221,  0.65,  0.00,  0.65,0.151,1, 15.35,0,0,0.221,0,  4
29,3,21,-300,  0,  0,  0,30,3,17,-200,0.730,  0.00,  0.00,  0.00,0.303,0, 15.35,0,0,0.270,0,  4
30,3,17,-200,  0,  0,  0,31,3,13,-100,0.698,  0.00,  0.00,  0.00,0.558,0, 15.35,0,0,0.302,0,  4
 1,0,20,   0, 11, 59, 30, 2,0,20,   0,0.901,  0.60,  5.04,  5.13,0.205,0,  0.60,1,0,0.099,0,  5
 2,0,20,   0, 11, 59, 30, 3,0,20,   0,0.898,  0.60,  4.98,  5.08,0.108,0,  1.20,1,0,0.102,0,  5
 3,0,20,   0, 14, 55, 31, 4,1,21,   0,0.102,  0.58,  4.49,  4.62,0.030,1,  1.78,1,1,0.102,0,  5
 4,1,21,   0, 15, 50, 35, 5,1,22,   0,0.886,  0.55,  4.45,  4.55,0.125,0,  2.33,1,0,0.114,0,  5
 5,1,22,   0, 18, 47, 35, 6,1,24,   0,0.888,  0.53,  4.43,  4.52,0.216,0,  2.86,1,0,0.112,0,  5
 6,1,24,   0, 13, 53, 34, 7,1,24,   0,0.885,  0.56,  4.37,  4.49,0.347,0,  3.42,1,0,0.115,0,  5
 7,1,24,   0, 13, 52, 35, 8,2,24,   0,0.117,  0.56,  3.71,  3.89,0.084,1,  3.98,1,1,0.117,0,  5
 8,2,24,   0, 52, 48,  0, 9,2,37,   0,0.891,  0.51,  3.83,  3.95,0.937,0,  4.49,0,0,0.109,0,  5
 9,2,37,   0, 14, 53, 33,10,2,35,   0,0.885,  0.53,  3.75,  3.90,0.307,0,  5.02,1,0,0.115,0,  5
10,2,35,   0, 13, 52, 35,11,2,33,   0,0.879,  0.53,  3.67,  3.83,0.565,0,  5.55,1,0,0.121,0,  5
11,2,33,   0,  6, 57, 37,12,2,29,   0,0.869,  0.55,  3.56,  3.75,0.577,0,  6.10,1,0,0.131,0,  5
12,2,29,   0,  1, 54, 40,13,2,24,   5,0.854,  0.53,  3.46,  3.65,0.338,0,  6.63,1,0,0.146,0,  5
13,2,24,   5, 55, 49,  0,14,2,38,   1,0.881,  0.51,  3.55,  3.71,0.790,0,  7.14,0,0,0.119,0,  5
14,2,38,   1, 12, 53, 36,15,2,35,   0,0.873,  0.53,  3.44,  3.63,0.743,0,  7.67,1,0,0.127,0,  5
15,2,35,   0,  7, 54, 39,16,2,31,   0,0.862,  0.53,  3.31,  3.52,0.640,0,  8.20,1,0,0.138,0,  5
16,2,31,   0,  5, 53, 42,17,3,27,   0,0.151,  0.53,  2.60,  2.87,0.054,1,  8.73,1,1,0.151,0,  5
17,3,27,   0, 54, 46,  0,18,3,40,   0,0.858,  0.45,  2.67,  2.85,0.562,0,  9.18,0,0,0.142,0,  5
18,3,40,   0,  1, 56, 43,19,3,33,   0,0.839,  0.49,  2.53,  2.77,0.738,0,  9.67,1,0,0.161,0,  5
19,3,33,   0, 48, 52,  0,20,3,43,   0,0.858,  0.48,  2.56,  2.78,0.318,0, 10.15,0,0,0.142,0,  5
20,3,43,   0,  0, 56, 43,21,3,35,   1,0.838,  0.49,  2.39,  2.64,0.746,0, 10.64,1,0,0.162,0,  5
21,3,35,   1, 52, 49,  0,22,3,46,   0,0.858,  0.46,  2.41,  2.63,0.467,0, 11.10,0,0,0.142,0,  5
22,3,46,   0,  1, 56, 43,23,3,38,   0,0.839,  0.49,  2.22,  2.48,0.433,0, 11.59,1,0,0.161,0,  5
23,3,38,   0,  0, 51, 49,24,3,31,   0,0.816,  0.47,  2.02,  2.29,0.850,0, 12.06,1,0,0.184,0,  5
24,3,31,   0, 38, 55,  0,25,3,38,   7,0.832,  0.49,  1.98,  2.26,0.972,0, 12.55,0,0,0.168,0,  5
25,3,38,   7,  0, 56, 51,26,3,31,   0,0.809,  0.49,  1.72,  2.04,0.227,0, 13.04,1,0,0.191,0,  5
26,3,31,   0, 23, 61,  0,27,3,33,  16,0.811,  0.51,  1.61,  1.95,0.648,0, 13.55,0,0,0.189,0,  5
27,3,33,  16,  0, 58, 58,28,3,27,   0,0.786,  0.50,  1.28,  1.65,0.488,0, 14.05,1,0,0.214,0,  5
28,3,27,   0,  0,100,  0,29,4,22,-300,0.239,  0.60,  0.00,  0.60,0.039,1, 14.65,0,0,0.239,0,  5
29,4,22,-300,  0,  0,  0,30,4,18,-200,0.701,  0.00,  0.00,  0.00,0.989,0, 14.65,0,0,0.299,0,  5
30,4,18,-200,  0,  0,  0,31,5,14,-400,0.332,  0.00,  0.00,  0.00,0.012,1, 14.65,0,0,0.332,0,  5
 1,0,20,   0, 11, 59, 30, 2,0,20,   0,0.901,  0.60,  5.04,  5.13,0.911,0,  0.60,1,0,0.099,0,  6
 2,0,20,   0, 11, 59, 30, 3,0,20,   0,0.898,  0.60,  4.98,  5.08,0.248,0,  1.20,1,0,0.102,0,  6
 3,0,20,   0, 14, 55, 31, 4,0,21,   0,0.898,  0.58,  4.94,  5.02,0.890,0,  1.78,1,0,0.102,0,  6
 4,0,21,   0, 15, 54, 31, 5,0,22,   0,0.898,  0.57,  4.89,  4.98,0.759,0,  2.35,1,0,0.102,0,  6
 5,0,22,   0, 12, 57, 31, 6,0,22,   0,0.895,  0.59,  4.83,  4.93,0.653,0,  2.94,1,0,0.105,0,  6
 6,0,22,   0, 12, 55, 32, 7,0,22,   1,0.893,  0.58,  4.77,  4.87,0.494,0,  3.52,1,0,0.107,0,  6
 7,0,22,   1, 18, 50, 33, 8,0,24,   0,0.894,  0.56,  4.73,  4.81,0.965,0,  4.08,1,0,0.106,0,  6
 8,0,24,   0, 13, 55, 32, 9,0,24,   0,0.892,  0.58,  4.65,  4.76,0.531,0,  4.66,1,0,0.108,0,  6
 9,0,24,   0, 13, 54, 33,10,0,24,   0,0.889,  0.57,  4.57,  4.69,0.349,0,  5.23,1,0,0.111,0,  6
10,0,24,   0, 13, 53, 34,11,0,24,   0,0.887,  0.57,  4.49,  4.61,0.664,0,  5.80,1,0,0.113,0,  6
