Age,Shocks,Fitness,Cash,FitnessSpending,JoySpending,InsuranceSpending,NextAge,NextShocks,NextFitness,NextCash,Probability,Enjoyment,FutureValue,Value,RandDraw,Shocked,TotalJoy,BuyIns,InsurancePaid,ShockProb,AtMaxShocks,Life
15,4,22,   0, 12, 48, 10,16,4,22,   0,0.784,  0.18,  0.78,  0.88,0.640,0,  4.26,1,0,0.216,0,  5
16,4,22,   0, 12, 48, 10,17,5,22,   0,0.219,  0.18,  0.29,  0.44,0.054,1,  4.44,1,1,0.219,0,  5
17,5,22,   0, 18, 52,  0,18,5,24,   0,0.743,  0.09,  0.29,  0.35,0.562,0,  4.53,0,0,0.257,0,  5
18,5,24,   0, 22, 48,  0,19,5,27,   0,0.754,  0.09,  0.29,  0.35,0.738,0,  4.62,0,0,0.246,0,  5
19,5,27,   0, 21, 49,  0,20,5,29,   0,0.759,  0.09,  0.29,  0.35,0.318,0,  4.71,0,0,0.241,0,  5
20,5,29,   0, 16, 54,  0,21,5,29,   0,0.755,  0.10,  0.29,  0.35,0.746,0,  4.81,0,0,0.245,0,  5
21,5,29,   0, 16, 54,  0,22,5,29,   0,0.752,  0.10,  0.28,  0.35,0.467,0,  4.91,0,0,0.248,0,  5
22,5,29,   0, 16, 54,  0,23,5,29,   0,0.748,  0.10,  0.28,  0.34,0.433,0,  5.01,0,0,0.252,0,  5
23,5,29,   0, 16, 54,  0,24,5,29,   0,0.744,  0.10,  0.27,  0.34,0.850,0,  5.11,0,0,0.256,0,  5
24,5,29,   0, 16, 54,  0,25,5,29,   0,0.740,  0.10,  0.26,  0.33,0.972,0,  5.21,0,0,0.260,0,  5
25,5,29,   0, 16, 54,  0,26,6,29,-300,0.264,  0.10,  0.00,  0.10,0.227,1,  5.31,0,0,0.264,0,  5
26,6,29,-300,  0,  0,  0,27,6,23,-230,0.642,  0.00,  0.00,  0.00,0.648,0,  5.31,0,0,0.358,1,  5
27,6,23,-230,  0,  0,  0,28,6,18,-160,0.600,  0.00,  0.00,  0.00,0.488,0,  5.31,0,0,0.400,1,  5
28,6,18,-160,  0,  0,  0,29,6,14,-390,0.443,  0.00,  0.00,  0.00,0.039,1,  5.31,0,0,0.443,1,  5
29,6,14,-390,  0,  0,  0,30,6,11,-320,0.518,  0.00,  0.00,  0.00,0.989,0,  5.31,0,0,0.482,1,  5
30,6,11,-320,  0,  0,  0,31,6, 9,-450,0.514,  0.00,  0.00,  0.00,0.012,1,  5.31,0,0,0.514,1,  5
 1,0,20,   0,  2, 58, 10, 2,0,17,   0,0.894,  0.59,  4.44,  4.59,0.911,0,  0.59,1,0,0.106,0,  6
 2,0,17,   0,  1, 59, 10, 3,0,14,   0,0.885,  0.60,  4.39,  4.54,0.248,0,  1.19,1,0,0.115,0,  6
 3,0,14,   0,  2, 58, 10, 4,0,12,   0,0.876,  0.59,  4.34,  4.50,0.890,0,  1.78,1,0,0.124,0,  6
 4,0,12,   0,  4, 56, 10, 5,0,11,   0,0.870,  0.58,  4.30,  4.45,0.759,0,  2.36,1,0,0.130,0,  6
 5,0,11,   0,  0, 60, 10, 6,0, 9,   0,0.861,  0.60,  4.25,  4.42,0.653,0,  2.96,1,0,0.139,0,  6
